booking_id,number_of_nights,date_check_in,date_check_out,total_price,user_id
62,5,2019-03-18,2019-03-23,300.0,38381963
63,1,2019-04-29,2019-04-30,60.0,6987223
64,4,2019-05-10,2019-05-14,240.0,5357771
65,5,2019-08-30,2019-09-04,300.0,10367147
66,4,2019-09-24,2019-09-28,240.0,27368358
67,2,2019-10-03,2019-10-05,120.0,832597
68,1,2019-10-09,2019-10-10,60.0,5043992
69,1,2019-11-08,2019-11-09,60.0,134561154
70,3,2019-11-07,2019-11-10,180.0,108997095
71,4,2019-11-13,2019-11-17,240.0,19150449
72,4,2019-11-20,2019-11-24,240.0,31509536
73,5,2019-12-08,2019-12-13,300.0,21556243
74,5,2020-01-21,2020-01-26,300.0,3141727
75,4,2020-02-25,2020-02-29,240.0,455774
76,2,2020-07-04,2020-07-06,120.0,41530157
77,3,2020-09-10,2020-09-13,180.0,6459319
78,4,2020-09-16,2020-09-20,240.0,88912786
79,2,2014-10-08,2014-10-10,62.0,3226238
80,2,2014-10-11,2014-10-13,62.0,156145218
81,1,2014-11-08,2014-11-09,31.0,2339512
82,4,2014-11-07,2014-11-11,124.0,33846113
83,2,2014-11-14,2014-11-16,62.0,19575593
84,3,2014-12-12,2014-12-15,93.0,72548085
85,1,2015-02-04,2015-02-05,31.0,295263766
86,5,2015-05-03,2015-05-08,155.0,14668598
87,1,2015-05-15,2015-05-16,31.0,73316885
88,4,2015-07-17,2015-07-21,124.0,61326
89,1,2015-08-31,2015-09-01,31.0,9498025
90,4,2015-09-15,2015-09-19,124.0,30404374
91,5,2016-01-02,2016-01-07,155.0,3440242
92,2,2016-01-26,2016-01-28,62.0,54615328
93,5,2016-02-01,2016-02-06,155.0,38353859
94,3,2016-03-26,2016-03-29,93.0,46631300
95,4,2016-03-30,2016-04-03,124.0,38838269
96,3,2016-05-28,2016-05-31,93.0,87014
97,2,2016-06-17,2016-06-19,62.0,19521285
98,1,2016-06-24,2016-06-25,31.0,157002370
99,4,2016-07-01,2016-07-05,124.0,17418454
100,5,2016-10-26,2016-10-31,155.0,4181071
101,2,2016-11-28,2016-11-30,62.0,1652303
102,2,2017-08-10,2017-08-12,62.0,19668264
103,2,2017-08-30,2017-09-01,62.0,1555584
104,1,2017-09-23,2017-09-24,31.0,2236658
105,5,2018-03-27,2018-04-01,155.0,78086437
106,1,2018-04-30,2018-05-01,31.0,4677458
107,1,2018-05-24,2018-05-25,31.0,50518604
108,4,2018-05-25,2018-05-29,124.0,3446599
109,4,2018-06-02,2018-06-06,124.0,36255673
110,3,2018-06-14,2018-06-17,93.0,4281126
111,3,2018-07-12,2018-07-15,93.0,280843129
112,3,2014-11-26,2014-11-29,276.0,27326529
113,3,2017-06-30,2017-07-03,276.0,305999526
114,5,2019-09-27,2019-10-02,460.0,37250312
115,3,2019-10-16,2019-10-19,276.0,8991046
116,4,2019-10-25,2019-10-29,368.0,55829
117,1,2019-11-06,2019-11-07,92.0,135618097
118,2,2019-11-26,2019-11-28,184.0,42885341
119,2,2019-12-10,2019-12-12,184.0,78086437
120,5,2019-12-29,2020-01-03,460.0,1003043
121,4,2020-02-26,2020-03-01,368.0,2991925
122,5,2010-05-05,2010-05-10,130.0,19227342
123,5,2010-06-18,2010-06-23,130.0,12698367
124,1,2010-09-29,2010-09-30,26.0,8577569
125,5,2010-10-07,2010-10-12,130.0,4146355
126,1,2010-10-17,2010-10-18,26.0,73772502
127,3,2010-10-21,2010-10-24,78.0,112229582
128,3,2010-10-30,2010-11-02,78.0,24966400
129,5,2010-11-19,2010-11-24,130.0,727160
130,2,2011-01-08,2011-01-10,52.0,18566037
131,2,2011-03-12,2011-03-14,52.0,36071943
132,3,2011-04-08,2011-04-11,78.0,11751342
133,1,2011-05-15,2011-05-16,26.0,93187396
134,3,2011-06-10,2011-06-13,78.0,7302534
135,1,2011-08-20,2011-08-21,26.0,21570136
136,5,2011-09-21,2011-09-26,130.0,15211621
137,4,2011-10-12,2011-10-16,104.0,26321726
138,1,2012-10-18,2012-10-19,26.0,1174648
139,2,2014-04-10,2014-04-12,52.0,11028279
140,3,2014-05-10,2014-05-13,78.0,1843216
141,5,2014-06-04,2014-06-09,130.0,1360783
142,3,2014-06-27,2014-06-30,78.0,104537306
143,3,2014-10-15,2014-10-18,78.0,1025742
144,1,2014-10-22,2014-10-23,26.0,6427023
145,1,2014-11-30,2014-12-01,26.0,27909955
146,4,2015-03-16,2015-03-20,104.0,266851878
147,4,2015-03-21,2015-03-25,104.0,25400569
148,4,2015-03-25,2015-03-29,104.0,1247790
149,4,2015-04-08,2015-04-12,104.0,3677192
150,5,2015-04-14,2015-04-19,130.0,118485410
151,1,2015-04-27,2015-04-28,26.0,182279038
152,2,2015-05-04,2015-05-06,52.0,8894761
153,2,2015-05-09,2015-05-11,52.0,88852047
154,2,2015-05-17,2015-05-19,52.0,4547509
155,1,2015-05-25,2015-05-26,26.0,1901258
156,2,2015-06-25,2015-06-27,52.0,2563986
157,5,2015-06-28,2015-07-03,130.0,137817419
158,3,2015-07-23,2015-07-26,78.0,35943792
159,5,2015-09-12,2015-09-17,130.0,13204867
160,1,2015-09-26,2015-09-27,26.0,48649121
161,2,2015-10-06,2015-10-08,52.0,10024931
162,4,2015-10-12,2015-10-16,104.0,125410119
163,1,2015-10-27,2015-10-28,26.0,20047585
164,3,2015-11-14,2015-11-17,78.0,13431548
165,1,2016-02-16,2016-02-17,26.0,47554470
166,2,2016-03-14,2016-03-16,52.0,88329672
167,1,2016-03-19,2016-03-20,26.0,45264298
168,5,2016-03-21,2016-03-26,130.0,51127160
169,1,2016-04-10,2016-04-11,26.0,111436904
170,1,2016-04-21,2016-04-22,26.0,17892134
171,1,2016-04-23,2016-04-24,26.0,1154066
172,5,2016-05-02,2016-05-07,130.0,1034239
173,1,2016-06-14,2016-06-15,26.0,7296236
174,1,2016-06-27,2016-06-28,26.0,6928584
175,3,2016-10-09,2016-10-12,78.0,690223
176,4,2016-10-28,2016-11-01,104.0,852616
177,5,2016-11-15,2016-11-20,130.0,184693
178,3,2016-11-26,2016-11-29,78.0,1028225
179,3,2017-01-16,2017-01-19,78.0,9326016
180,4,2017-01-20,2017-01-24,104.0,16861862
181,3,2017-02-12,2017-02-15,78.0,3684429
182,3,2017-02-16,2017-02-19,78.0,39534053
183,3,2017-02-24,2017-02-27,78.0,447969
184,2,2017-03-02,2017-03-04,52.0,27300404
185,1,2017-03-26,2017-03-27,26.0,7033036
186,5,2017-03-28,2017-04-02,130.0,11122375
187,4,2017-04-13,2017-04-17,104.0,869032
188,2,2017-04-22,2017-04-24,52.0,17907684
189,4,2017-04-26,2017-04-30,104.0,17613777
190,1,2017-05-06,2017-05-07,26.0,16215512
191,4,2017-05-07,2017-05-11,104.0,181949632
192,1,2017-05-15,2017-05-16,26.0,23864820
193,2,2017-05-17,2017-05-19,52.0,289978896
194,5,2017-05-16,2017-05-21,130.0,832244
195,4,2017-05-24,2017-05-28,104.0,25269757
196,3,2017-05-29,2017-06-01,78.0,15909763
197,4,2017-06-06,2017-06-10,104.0,614637
198,4,2017-06-21,2017-06-25,104.0,5043992
199,5,2017-06-27,2017-07-02,130.0,20979643
200,4,2017-09-11,2017-09-15,104.0,2242135
201,1,2017-09-21,2017-09-22,26.0,119982852
202,2,2017-10-06,2017-10-08,52.0,30324249
203,2,2017-10-12,2017-10-14,52.0,39994806
204,1,2017-10-21,2017-10-22,26.0,295195222
205,1,2017-11-06,2017-11-07,26.0,1773030
206,4,2017-11-10,2017-11-14,104.0,23687124
207,1,2017-11-20,2017-11-21,26.0,117423793
208,4,2017-11-24,2017-11-28,104.0,32840899
209,1,2017-12-09,2017-12-10,26.0,1151723
210,2,2017-12-15,2017-12-17,52.0,16727145
211,5,2017-12-15,2017-12-20,130.0,36510810
212,1,2018-01-30,2018-01-31,26.0,21825531
213,5,2018-02-11,2018-02-16,130.0,2734639
214,4,2018-02-20,2018-02-24,104.0,24283158
215,1,2018-03-11,2018-03-12,26.0,1197551
216,2,2018-04-01,2018-04-03,52.0,59074652
217,2,2018-04-19,2018-04-21,52.0,31527002
218,1,2018-04-25,2018-04-26,26.0,4785575
219,4,2018-04-29,2018-05-03,104.0,101297613
220,3,2018-05-10,2018-05-13,78.0,11519580
221,3,2018-05-12,2018-05-15,78.0,1600853
222,5,2018-05-30,2018-06-04,130.0,28936546
223,5,2018-06-08,2018-06-13,130.0,152964927
224,2,2018-06-15,2018-06-17,52.0,131638000
225,2,2018-06-20,2018-06-22,52.0,28512115
226,2,2018-07-06,2018-07-08,52.0,49397122
227,4,2018-07-11,2018-07-15,104.0,8349216
228,5,2018-07-19,2018-07-24,130.0,11905759
229,5,2018-07-26,2018-07-31,130.0,49690529
230,1,2018-09-09,2018-09-10,26.0,70150494
231,3,2018-09-27,2018-09-30,78.0,65348033
232,3,2018-10-06,2018-10-09,78.0,49178360
233,3,2018-10-08,2018-10-11,78.0,24162870
234,4,2018-10-10,2018-10-14,104.0,4103969
235,5,2018-10-12,2018-10-17,130.0,5989693
236,1,2018-10-22,2018-10-23,26.0,9702558
237,2,2018-10-28,2018-10-30,52.0,1263935
238,1,2018-11-01,2018-11-02,26.0,12381498
239,1,2018-11-14,2018-11-15,26.0,19797023
240,5,2018-11-13,2018-11-18,130.0,4668396
241,3,2018-12-13,2018-12-16,78.0,726600
242,3,2019-01-04,2019-01-07,78.0,2440616
243,4,2019-01-10,2019-01-14,104.0,3255694
244,2,2019-01-24,2019-01-26,52.0,2111994
245,5,2019-01-27,2019-02-01,130.0,224276903
246,1,2019-02-08,2019-02-09,26.0,25076323
247,4,2019-02-09,2019-02-13,104.0,3331390
248,2,2019-02-28,2019-03-02,52.0,61326
249,4,2019-03-03,2019-03-07,104.0,1879320
250,3,2019-03-07,2019-03-10,78.0,64070021
251,2,2019-03-13,2019-03-15,52.0,27459942
252,2,2019-03-16,2019-03-18,52.0,186982083
253,4,2019-05-29,2019-06-02,104.0,2900675
254,3,2019-06-11,2019-06-14,78.0,643984
255,2,2019-06-14,2019-06-16,52.0,4981180
256,4,2019-06-27,2019-07-01,104.0,1906624
257,3,2019-07-07,2019-07-10,78.0,118512203
258,3,2019-10-03,2019-10-06,78.0,1523541
259,2,2019-10-09,2019-10-11,52.0,16536235
260,1,2019-11-09,2019-11-10,26.0,57565524
261,2,2019-11-19,2019-11-21,52.0,239172992
262,4,2019-11-20,2019-11-24,104.0,26841882
263,2,2019-11-29,2019-12-01,52.0,47453433
264,4,2020-01-27,2020-01-31,104.0,276038267
265,2,2020-02-03,2020-02-05,52.0,19887379
266,3,2020-02-11,2020-02-14,78.0,4332866
267,1,2020-02-15,2020-02-16,26.0,216590
268,3,2020-02-21,2020-02-24,78.0,5440290
269,2,2020-03-02,2020-03-04,52.0,47933285
270,4,2020-03-08,2020-03-12,104.0,30168983
271,5,2011-06-29,2011-07-04,425.0,51850335
272,3,2012-05-19,2012-05-22,255.0,4159117
273,5,2012-05-23,2012-05-28,425.0,26552021
274,1,2010-07-05,2010-07-06,65.0,69926307
275,2,2010-12-07,2010-12-09,130.0,32186382
276,1,2011-02-21,2011-02-22,65.0,31477891
277,3,2011-03-20,2011-03-23,195.0,2324992
278,5,2011-04-04,2011-04-09,325.0,37643913
279,2,2011-05-02,2011-05-04,130.0,147537489
280,5,2011-05-08,2011-05-13,325.0,2828587
281,1,2011-05-27,2011-05-28,65.0,46580343
282,5,2011-06-09,2011-06-14,325.0,154920093
283,3,2011-06-17,2011-06-20,195.0,1591659
284,3,2011-06-24,2011-06-27,195.0,49927825
285,1,2011-07-06,2011-07-07,65.0,77887438
286,4,2011-07-12,2011-07-16,260.0,10449147
287,3,2011-07-16,2011-07-19,195.0,2067969
288,3,2011-08-14,2011-08-17,195.0,36245009
289,3,2011-09-02,2011-09-05,195.0,59799734
290,4,2011-09-14,2011-09-18,260.0,7762249
291,3,2011-09-26,2011-09-29,195.0,2036230
292,5,2011-09-28,2011-10-03,325.0,22539344
293,1,2011-10-10,2011-10-11,65.0,26402947
294,3,2011-10-13,2011-10-16,195.0,6993682
295,2,2011-10-31,2011-11-02,130.0,46560209
296,5,2011-11-02,2011-11-07,325.0,158646610
297,1,2011-11-26,2011-11-27,65.0,172978
298,3,2011-12-30,2012-01-02,195.0,9406245
299,3,2012-03-16,2012-03-19,195.0,15891880
300,5,2012-03-19,2012-03-24,325.0,106282890
301,4,2012-03-22,2012-03-26,260.0,57874231
302,2,2012-04-05,2012-04-07,130.0,28206513
303,4,2012-04-14,2012-04-18,260.0,1973073
304,2,2012-05-06,2012-05-08,130.0,37373470
305,1,2012-05-09,2012-05-10,65.0,897250
306,2,2012-05-23,2012-05-25,130.0,29374880
307,3,2012-05-23,2012-05-26,195.0,496813
308,1,2012-05-30,2012-05-31,65.0,1842675
309,2,2012-06-04,2012-06-06,130.0,1738341
310,4,2012-06-21,2012-06-25,260.0,106143646
311,2,2012-08-07,2012-08-09,130.0,4231218
312,4,2012-09-05,2012-09-09,260.0,19497132
313,4,2012-09-21,2012-09-25,260.0,4850571
314,5,2012-09-26,2012-10-01,325.0,38574593
315,1,2012-10-12,2012-10-13,65.0,50518604
316,4,2012-10-24,2012-10-28,260.0,50435917
317,5,2012-12-06,2012-12-11,325.0,15568214
318,2,2012-12-09,2012-12-11,130.0,139926057
319,3,2012-12-17,2012-12-20,195.0,5896428
320,4,2012-12-27,2012-12-31,260.0,814490
321,1,2013-02-28,2013-03-01,65.0,77744309
322,2,2013-03-02,2013-03-04,130.0,94095597
323,4,2013-04-06,2013-04-10,260.0,237670602
324,5,2013-05-01,2013-05-06,325.0,19446812
325,3,2013-05-13,2013-05-16,195.0,24410125
326,5,2013-05-16,2013-05-21,325.0,121691808
327,5,2013-05-22,2013-05-27,325.0,9458050
328,2,2013-06-01,2013-06-03,130.0,43172155
329,4,2013-06-25,2013-06-29,260.0,89635686
330,5,2013-07-20,2013-07-25,325.0,3123742
331,1,2013-08-30,2013-08-31,65.0,2792469
332,3,2014-04-18,2014-04-21,195.0,105365733
333,1,2014-04-26,2014-04-27,65.0,1438411
334,4,2014-10-09,2014-10-13,260.0,1868383
335,1,2014-11-14,2014-11-15,65.0,1666455
336,1,2015-01-03,2015-01-04,65.0,93093844
337,5,2015-01-04,2015-01-09,325.0,13151139
338,3,2015-04-02,2015-04-05,195.0,224275
339,3,2015-04-04,2015-04-07,195.0,802207
340,1,2015-04-12,2015-04-13,65.0,9228673
341,5,2015-04-21,2015-04-26,325.0,28497889
342,5,2015-04-29,2015-05-04,325.0,796746
343,1,2015-05-13,2015-05-14,65.0,64806144
344,2,2015-05-17,2015-05-19,130.0,5111246
345,5,2015-05-15,2015-05-20,325.0,53481188
346,5,2015-05-27,2015-06-01,325.0,189699892
347,2,2015-06-01,2015-06-03,130.0,7302534
348,2,2015-06-05,2015-06-07,130.0,46994354
349,3,2015-06-12,2015-06-15,195.0,855709
350,5,2015-06-14,2015-06-19,325.0,142138429
351,4,2015-06-17,2015-06-21,260.0,17282045
352,3,2015-06-25,2015-06-28,195.0,10031165
353,1,2015-07-01,2015-07-02,65.0,38373498
354,2,2015-07-07,2015-07-09,130.0,5608558
355,1,2015-07-10,2015-07-11,65.0,134086
356,2,2015-09-11,2015-09-13,130.0,93681683
357,3,2015-09-18,2015-09-21,195.0,45091779
358,3,2015-09-22,2015-09-25,195.0,3322122
359,1,2015-10-03,2015-10-04,65.0,6242714
360,2,2015-10-14,2015-10-16,130.0,37651860
361,4,2015-10-15,2015-10-19,260.0,97559550
362,3,2015-10-22,2015-10-25,195.0,42199003
363,4,2015-11-24,2015-11-28,260.0,11424503
364,1,2015-11-30,2015-12-01,65.0,84725665
365,2,2015-12-26,2015-12-28,130.0,16486527
366,5,2015-12-31,2016-01-05,325.0,9680181
367,3,2016-01-06,2016-01-09,195.0,46764808
368,4,2016-01-13,2016-01-17,260.0,3244177
369,2,2016-01-21,2016-01-23,130.0,2271461
370,4,2016-01-28,2016-02-01,260.0,19146932
371,2,2016-02-05,2016-02-07,130.0,726600
372,4,2016-02-24,2016-02-28,260.0,4002366
373,5,2016-03-31,2016-04-05,325.0,8346894
374,5,2016-04-04,2016-04-09,325.0,9355809
375,4,2016-04-07,2016-04-11,260.0,38092822
376,5,2016-04-12,2016-04-17,325.0,1978931
377,3,2016-04-21,2016-04-24,195.0,313198
378,2,2016-05-09,2016-05-11,130.0,22722667
379,3,2016-05-20,2016-05-23,195.0,13585425
380,1,2016-07-16,2016-07-17,65.0,57369099
381,1,2016-08-07,2016-08-08,65.0,1277506
382,5,2016-09-20,2016-09-25,325.0,200731
383,5,2016-09-22,2016-09-27,325.0,9696587
384,5,2016-10-02,2016-10-07,325.0,5950981
385,5,2016-10-06,2016-10-11,325.0,17642420
386,5,2016-10-18,2016-10-23,325.0,1600853
387,1,2016-12-04,2016-12-05,65.0,762803
388,3,2016-12-08,2016-12-11,195.0,10281881
389,2,2017-02-17,2017-02-19,130.0,21093815
390,3,2017-03-09,2017-03-12,195.0,8345477
391,1,2017-04-02,2017-04-03,65.0,3391426
392,3,2017-04-06,2017-04-09,195.0,196859204
393,1,2017-04-29,2017-04-30,65.0,6079292
394,3,2017-05-04,2017-05-07,195.0,15720962
395,2,2017-05-09,2017-05-11,130.0,1438849
396,1,2017-05-13,2017-05-14,65.0,9198853
397,5,2017-05-15,2017-05-20,325.0,2849809
398,5,2017-05-22,2017-05-27,325.0,2613465
399,1,2017-06-03,2017-06-04,65.0,117956266
400,5,2017-06-03,2017-06-08,325.0,1811513
401,1,2017-06-25,2017-06-26,65.0,1015305
402,2,2017-06-28,2017-06-30,130.0,218258138
403,3,2017-07-01,2017-07-04,195.0,9212596
404,3,2017-07-06,2017-07-09,195.0,31575413
405,1,2017-07-15,2017-07-16,65.0,175660624
406,1,2017-07-28,2017-07-29,65.0,14269367
407,5,2017-07-31,2017-08-05,325.0,5438672
408,5,2017-08-12,2017-08-17,325.0,667588
409,5,2017-09-20,2017-09-25,325.0,35691942
410,4,2017-10-04,2017-10-08,260.0,4136537
411,2,2017-10-28,2017-10-30,130.0,6124844
412,1,2017-12-02,2017-12-03,65.0,17902428
413,1,2017-12-09,2017-12-10,65.0,93093844
414,4,2017-12-09,2017-12-13,260.0,68864863
415,3,2017-12-15,2017-12-18,195.0,8447678
416,2,2017-12-25,2017-12-27,130.0,133370046
417,3,2017-12-29,2018-01-01,195.0,35417120
418,4,2018-01-10,2018-01-14,260.0,3675533
419,1,2018-01-17,2018-01-18,65.0,64420004
420,1,2018-03-27,2018-03-28,65.0,77458590
421,3,2018-08-03,2018-08-06,195.0,44816793
422,5,2018-08-14,2018-08-19,325.0,849742
423,4,2018-10-25,2018-10-29,260.0,95545551
424,4,2018-11-09,2018-11-13,260.0,666910
425,5,2018-11-23,2018-11-28,325.0,38426919
426,2,2019-02-09,2019-02-11,130.0,27005485
427,2,2019-02-15,2019-02-17,130.0,1125117
428,2,2019-03-04,2019-03-06,130.0,4707455
429,2,2019-03-11,2019-03-13,130.0,31671726
430,4,2019-03-13,2019-03-17,260.0,70503116
431,5,2019-03-20,2019-03-25,325.0,1784486
432,3,2019-03-29,2019-04-01,195.0,1842675
433,5,2019-04-09,2019-04-14,325.0,117752806
434,3,2019-04-18,2019-04-21,195.0,1783584
435,1,2019-04-29,2019-04-30,65.0,19446812
436,5,2019-04-30,2019-05-05,325.0,19221447
437,4,2019-05-13,2019-05-17,260.0,47576361
438,2,2019-05-25,2019-05-27,130.0,8500414
439,4,2019-06-01,2019-06-05,260.0,29742382
440,3,2019-07-06,2019-07-09,195.0,197119
441,2,2019-11-03,2019-11-05,130.0,120871463
442,3,2019-11-22,2019-11-25,195.0,22525377
443,5,2019-12-30,2020-01-04,325.0,31748791
444,1,2015-05-11,2015-05-12,54.0,6397211
445,5,2015-09-10,2015-09-15,270.0,61907830
446,4,2016-03-11,2016-03-15,216.0,14135788
447,4,2017-04-20,2017-04-24,216.0,3686179
448,3,2017-04-28,2017-05-01,162.0,99597139
449,3,2017-05-13,2017-05-16,162.0,13801
450,1,2017-05-22,2017-05-23,54.0,20714103
451,2,2017-05-28,2017-05-30,108.0,2980994
452,1,2010-08-08,2010-08-09,79.0,18034966
453,1,2011-01-03,2011-01-04,79.0,9669304
454,3,2011-07-02,2011-07-05,237.0,359010
455,4,2011-08-20,2011-08-24,316.0,275031500
456,1,2011-10-24,2011-10-25,79.0,16891788
457,1,2011-10-31,2011-11-01,79.0,2678039
458,4,2012-02-13,2012-02-17,316.0,84195306
459,3,2012-03-17,2012-03-20,237.0,26148010
460,5,2012-03-29,2012-04-03,395.0,48616199
461,1,2012-07-26,2012-07-27,79.0,3739583
462,3,2012-07-28,2012-07-31,237.0,12644180
463,4,2012-11-03,2012-11-07,316.0,19227631
464,1,2012-12-03,2012-12-04,79.0,35848951
465,4,2013-03-13,2013-03-17,316.0,287965220
466,5,2013-03-20,2013-03-25,395.0,4053105
467,5,2013-04-02,2013-04-07,395.0,22679983
468,3,2013-04-13,2013-04-16,237.0,49264332
469,1,2013-04-29,2013-04-30,79.0,29522205
470,3,2013-05-24,2013-05-27,237.0,4312150
471,4,2013-05-30,2013-06-03,316.0,5089465
472,3,2013-06-23,2013-06-26,237.0,12317432
473,2,2013-09-06,2013-09-08,158.0,4259178
474,2,2013-09-28,2013-09-30,158.0,160632001
475,5,2013-11-05,2013-11-10,395.0,30696902
476,3,2013-12-27,2013-12-30,237.0,10297025
477,2,2014-01-11,2014-01-13,158.0,37494542
478,3,2014-04-17,2014-04-20,237.0,4794809
479,1,2014-04-28,2014-04-29,79.0,23649429
480,1,2014-05-27,2014-05-28,79.0,272881
481,2,2014-06-04,2014-06-06,158.0,9430153
482,2,2014-07-06,2014-07-08,158.0,30008656
483,3,2014-07-19,2014-07-22,237.0,639095
484,4,2014-09-17,2014-09-21,316.0,2891212
485,4,2014-09-29,2014-10-03,316.0,28802917
486,2,2014-10-04,2014-10-06,158.0,4668396
487,2,2014-10-10,2014-10-12,158.0,38198560
488,5,2014-10-21,2014-10-26,395.0,10731257
489,4,2014-11-21,2014-11-25,316.0,14156118
490,2,2015-02-07,2015-02-09,158.0,1882099
491,4,2015-02-13,2015-02-17,316.0,35880083
492,3,2015-02-21,2015-02-24,237.0,72987772
493,5,2015-04-12,2015-04-17,395.0,8231348
494,1,2015-05-05,2015-05-06,79.0,41731653
495,3,2015-05-09,2015-05-12,237.0,104194562
496,3,2015-05-25,2015-05-28,237.0,18084703
497,2,2015-06-01,2015-06-03,158.0,22073968
498,5,2015-06-04,2015-06-09,395.0,1018598
499,1,2015-07-07,2015-07-08,79.0,7908453
500,3,2015-07-09,2015-07-12,237.0,9872400
501,1,2015-07-26,2015-07-27,79.0,289978896
502,4,2015-10-10,2015-10-14,316.0,2324992
503,5,2015-10-14,2015-10-19,395.0,3999813
504,5,2015-10-29,2015-11-03,395.0,167679401
505,3,2015-12-06,2015-12-09,237.0,20108681
506,1,2015-12-13,2015-12-14,79.0,35294692
507,4,2016-01-03,2016-01-07,316.0,6119221
508,1,2016-01-24,2016-01-25,79.0,47554470
509,2,2016-02-06,2016-02-08,158.0,220089
510,3,2016-02-13,2016-02-16,237.0,1366691
511,2,2016-04-14,2016-04-16,158.0,7762249
512,3,2016-06-04,2016-06-07,237.0,9615074
513,1,2016-09-04,2016-09-05,79.0,25633808
514,5,2016-11-15,2016-11-20,395.0,10189139
515,4,2016-11-24,2016-11-28,316.0,1311958
516,2,2016-12-11,2016-12-13,158.0,50736423
517,2,2017-01-04,2017-01-06,158.0,3951702
518,2,2017-02-22,2017-02-24,158.0,27356093
519,2,2017-03-28,2017-03-30,158.0,165904
520,5,2017-05-17,2017-05-22,395.0,6987223
521,1,2017-06-18,2017-06-19,79.0,250976165
522,5,2017-06-28,2017-07-03,395.0,27925229
523,1,2017-07-31,2017-08-01,79.0,23910463
524,1,2017-08-25,2017-08-26,79.0,10002428
525,3,2017-09-23,2017-09-26,237.0,15174567
526,3,2017-09-27,2017-09-30,237.0,640422
527,1,2017-11-17,2017-11-18,79.0,379974
528,3,2017-11-18,2017-11-21,237.0,1344679
529,4,2017-11-22,2017-11-26,316.0,19499097
530,4,2017-12-06,2017-12-10,316.0,44029304
531,1,2017-12-25,2017-12-26,79.0,7657
532,3,2018-01-18,2018-01-21,237.0,198689443
533,2,2018-02-05,2018-02-07,158.0,11473376
534,1,2018-02-23,2018-02-24,79.0,1301182
535,3,2018-03-11,2018-03-14,237.0,21272298
536,2,2018-03-23,2018-03-25,158.0,36340994
537,2,2018-04-21,2018-04-23,158.0,12611737
